[I 2026-05-15 08:51:39,636] Using an existing study with name 'exp211_user_ltv_part3_hybrid_optuna_20260515t073925' instead of creating a new one.
Loading Database object from /home/u2021201693/.cache/relbench/rel-amazon/db...
Loading Database object from /home/u2021201693/.cache/relbench/rel-amazon/db...
Done in 49.56 seconds.
Loading Database object from /home/u2021201693/.cache/relbench/rel-amazon/db...
Done in 49.87 seconds.
Loading Database object from /home/u2021201693/.cache/relbench/rel-amazon/db...
Done in 49.98 seconds.
Done in 50.98 seconds.
Table names:  ['review', 'product', 'customer']
Begin time:  2008-01-01 00:00:00 End time:  2018-09-28 00:00:00
Val time:  2015-10-01 00:00:00 Test time:  2016-01-01 00:00:00
Graph cache profile:  gnn_repr_full_horizon
Entity table:  customer
Loading LLAMA
Freezing LLAMA!
trainable params: 13.37M || all params: 1249.18M || trainable: 1.0701%

  0%|          | 0/32768 [00:00<?, ?it/s]Starting from v4.46, the `logits` model output will have the same type as the model (except at train time, where it will always be FP32)
Starting from v4.46, the `logits` model output will have the same type as the model (except at train time, where it will always be FP32)
/fs/fast/u2021201693/lym/Rel-LLM-codex-stage3-clean-p13/conda/envs/lib/python3.11/site-packages/torch/autograd/graph.py:769: UserWarning: Grad strides do not match bucket view strides. This may indicate grad was not created according to the gradient layout contract, or that the param's strides changed since DDP was constructed.  This is not an error, but may impair performance.
grad.sizes() = [1, 7, 8, 128], strides() = [128, 1024, 128, 1]
bucket_view.sizes() = [1, 7, 8, 128], strides() = [7168, 1024, 128, 1] (Triggered internally at ../torch/csrc/distributed/c10d/reducer.cpp:327.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
/fs/fast/u2021201693/lym/Rel-LLM-codex-stage3-clean-p13/conda/envs/lib/python3.11/site-packages/torch/autograd/graph.py:769: UserWarning: Grad strides do not match bucket view strides. This may indicate grad was not created according to the gradient layout contract, or that the param's strides changed since DDP was constructed.  This is not an error, but may impair performance.
grad.sizes() = [1, 7, 8, 128], strides() = [128, 1024, 128, 1]
bucket_view.sizes() = [1, 7, 8, 128], strides() = [7168, 1024, 128, 1] (Triggered internally at ../torch/csrc/distributed/c10d/reducer.cpp:327.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass

[Train] Step: 1/32768 | Cycle step: 1/32768 | Train loss: 45.481930:   0%|          | 0/32768 [00:02<?, ?it/s]
[Train] Step: 1/32768 | Cycle step: 1/32768 | Train loss: 45.481930:   0%|          | 1/32768 [00:02<24:10:04,  2.66s/it]
[Train] Step: 2/32768 | Cycle step: 2/32768 | Train loss: 30.480862:   0%|          | 1/32768 [00:02<24:10:04,  2.66s/it]
[Train] Step: 2/32768 | Cycle step: 2/32768 | Train loss: 30.480862:   0%|          | 2/32768 [00:02<10:39:14,  1.17s/it]
[Train] Step: 3/32768 | Cycle step: 3/32768 | Train loss: 21.084159:   0%|          | 2/32768 [00:02<10:39:14,  1.17s/it]
[Train] Step: 3/32768 | Cycle step: 3/32768 | Train loss: 21.084159:   0%|          | 3/32768 [00:02<6:17:52,  1.45it/s] 
[Train] Step: 4/32768 | Cycle step: 4/32768 | Train loss: 18.362576:   0%|          | 3/32768 [00:03<6:17:52,  1.45it/s]
[Train] Step: 4/32768 | Cycle step: 4/32768 | Train loss: 18.362576:   0%|          | 4/32768 [00:03<4:17:31,  2.12it/s]
[Train] Step: 5/32768 | Cycle step: 5/32768 | Train loss: 15.129566:   0%|          | 4/32768 [00:03<4:17:31,  2.12it/s]
[Train] Step: 5/32768 | Cycle step: 5/32768 | Train loss: 15.129566:   0%|          | 5/32768 [00:03<3:08:57,  2.89it/s]
[Train] Step: 6/32768 | Cycle step: 6/32768 | Train loss: 19.607400:   0%|          | 5/32768 [00:03<3:08:57,  2.89it/s]
[Train] Step: 6/32768 | Cycle step: 6/32768 | Train loss: 19.607400:   0%|          | 6/32768 [00:03<2:27:32,  3.70it/s]
[Train] Step: 7/32768 | Cycle step: 7/32768 | Train loss: 18.991845:   0%|          | 6/32768 [00:03<2:27:32,  3.70it/s]
[Train] Step: 7/32768 | Cycle step: 7/32768 | Train loss: 18.991845:   0%|          | 7/32768 [00:03<2:00:53,  4.52it/s]
[Train] Step: 8/32768 | Cycle step: 8/32768 | Train loss: 18.705223:   0%|          | 7/32768 [00:03<2:00:53,  4.52it/s]
[Train] Step: 8/32768 | Cycle step: 8/32768 | Train loss: 18.705223:   0%|          | 8/32768 [00:03<1:43:43,  5.26it/s]
[Train] Step: 9/32768 | Cycle step: 9/32768 | Train loss: 19.574324:   0%|          | 8/32768 [00:03<1:43:43,  5.26it/s]
[Train] Step: 9/32768 | Cycle step: 9/32768 | Train loss: 19.574324:   0%|          | 9/32768 [00:03<1:35:03,  5.74it/s]
[Train] Step: 10/32768 | Cycle step: 10/32768 | Train loss: 17.885183:   0%|          | 9/32768 [00:03<1:35:03,  5.74it/s]
[Train] Step: 10/32768 | Cycle step: 10/32768 | Train loss: 17.885183:   0%|          | 10/32768 [00:03<1:26:11,  6.33it/s]
[Train] Step: 11/32768 | Cycle step: 11/32768 | Train loss: 18.627689:   0%|          | 10/32768 [00:03<1:26:11,  6.33it/s]
[Train] Step: 11/32768 | Cycle step: 11/32768 | Train loss: 18.627689:   0%|          | 11/32768 [00:03<1:21:04,  6.73it/s]
[Train] Step: 12/32768 | Cycle step: 12/32768 | Train loss: 17.598097:   0%|          | 11/32768 [00:04<1:21:04,  6.73it/s]
[Train] Step: 12/32768 | Cycle step: 12/32768 | Train loss: 17.598097:   0%|          | 12/32768 [00:04<1:16:37,  7.13it/s]
[Train] Step: 13/32768 | Cycle step: 13/32768 | Train loss: 16.339966:   0%|          | 12/32768 [00:04<1:16:37,  7.13it/s]
[Train] Step: 13/32768 | Cycle step: 13/32768 | Train loss: 16.339966:   0%|          | 13/32768 [00:04<1:13:29,  7.43it/s]
[Train] Step: 14/32768 | Cycle step: 14/32768 | Train loss: 20.140476:   0%|          | 13/32768 [00:04<1:13:29,  7.43it/s]
[Train] Step: 14/32768 | Cycle step: 14/32768 | Train loss: 20.140476:   0%|          | 14/32768 [00:04<1:11:44,  7.61it/s]
[Train] Step: 15/32768 | Cycle step: 15/32768 | Train loss: 20.514477:   0%|          | 14/32768 [00:04<1:11:44,  7.61it/s]
[Train] Step: 15/32768 | Cycle step: 15/32768 | Train loss: 20.514477:   0%|          | 15/32768 [00:04<1:10:37,  7.73it/s]
[Train] Step: 16/32768 | Cycle step: 16/32768 | Train loss: 19.579044:   0%|          | 15/32768 [00:04<1:10:37,  7.73it/s]
[Train] Step: 16/32768 | Cycle step: 16/32768 | Train loss: 19.579044:   0%|          | 16/32768 [00:04<1:08:55,  7.92it/s]
[Train] Step: 17/32768 | Cycle step: 17/32768 | Train loss: 19.486584:   0%|          | 16/32768 [00:04<1:08:55,  7.92it/s]
[Train] Step: 17/32768 | Cycle step: 17/32768 | Train loss: 19.486584:   0%|          | 17/32768 [00:04<1:07:47,  8.05it/s]
[Train] Step: 18/32768 | Cycle step: 18/32768 | Train loss: 18.491138:   0%|          | 17/32768 [00:04<1:07:47,  8.05it/s]
[Train] Step: 18/32768 | Cycle step: 18/32768 | Train loss: 18.491138:   0%|          | 18/32768 [00:04<1:06:55,  8.16it/s]
[Train] Step: 19/32768 | Cycle step: 19/32768 | Train loss: 18.979897:   0%|          | 18/32768 [00:04<1:06:55,  8.16it/s]
[Train] Step: 19/32768 | Cycle step: 19/32768 | Train loss: 18.979897:   0%|          | 19/32768 [00:04<1:06:50,  8.17it/s]
[Train] Step: 20/32768 | Cycle step: 20/32768 | Train loss: 18.459610:   0%|          | 19/32768 [00:05<1:06:50,  8.17it/s]
[Train] Step: 20/32768 | Cycle step: 20/32768 | Train loss: 18.459610:   0%|          | 20/32768 [00:05<1:06:59,  8.15it/s]
[Train] Step: 21/32768 | Cycle step: 21/32768 | Train loss: 17.718020:   0%|          | 20/32768 [00:05<1:06:59,  8.15it/s]
[Train] Step: 21/32768 | Cycle step: 21/32768 | Train loss: 17.718020:   0%|          | 21/32768 [00:05<1:06:44,  8.18it/s]
[Train] Step: 22/32768 | Cycle step: 22/32768 | Train loss: 17.120901:   0%|          | 21/32768 [00:05<1:06:44,  8.18it/s]
[Train] Step: 22/32768 | Cycle step: 22/32768 | Train loss: 17.120901:   0%|          | 22/32768 [00:05<1:06:02,  8.26it/s]
[Train] Step: 23/32768 | Cycle step: 23/32768 | Train loss: 16.609425:   0%|          | 22/32768 [00:05<1:06:02,  8.26it/s]
[Train] Step: 23/32768 | Cycle step: 23/32768 | Train loss: 16.609425:   0%|          | 23/32768 [00:05<1:06:14,  8.24it/s]
[Train] Step: 24/32768 | Cycle step: 24/32768 | Train loss: 16.358519:   0%|          | 23/32768 [00:05<1:06:14,  8.24it/s]
[Train] Step: 24/32768 | Cycle step: 24/32768 | Train loss: 16.358519:   0%|          | 24/32768 [00:05<1:05:57,  8.27it/s]
[Train] Step: 25/32768 | Cycle step: 25/32768 | Train loss: 15.745372:   0%|          | 24/32768 [00:05<1:05:57,  8.27it/s]
[Train] Step: 25/32768 | Cycle step: 25/32768 | Train loss: 15.745372:   0%|          | 25/32768 [00:05<1:05:38,  8.31it/s]
[Train] Step: 26/32768 | Cycle step: 26/32768 | Train loss: 15.393578:   0%|          | 25/32768 [00:05<1:05:38,  8.31it/s]
[Train] Step: 26/32768 | Cycle step: 26/32768 | Train loss: 15.393578:   0%|          | 26/32768 [00:05<1:05:29,  8.33it/s]
[Train] Step: 27/32768 | Cycle step: 27/32768 | Train loss: 15.206751:   0%|          | 26/32768 [00:05<1:05:29,  8.33it/s]
[Train] Step: 27/32768 | Cycle step: 27/32768 | Train loss: 15.206751:   0%|          | 27/32768 [00:05<1:05:25,  8.34it/s]
[Train] Step: 28/32768 | Cycle step: 28/32768 | Train loss: 16.232592:   0%|          | 27/32768 [00:05<1:05:25,  8.34it/s]
[Train] Step: 28/32768 | Cycle step: 28/32768 | Train loss: 16.232592:   0%|          | 28/32768 [00:05<1:06:08,  8.25it/s]
[Train] Step: 29/32768 | Cycle step: 29/32768 | Train loss: 15.963791:   0%|          | 28/32768 [00:06<1:06:08,  8.25it/s]
[Train] Step: 29/32768 | Cycle step: 29/32768 | Train loss: 15.963791:   0%|          | 29/32768 [00:06<1:06:28,  8.21it/s]
[Train] Step: 30/32768 | Cycle step: 30/32768 | Train loss: 15.495238:   0%|          | 29/32768 [00:06<1:06:28,  8.21it/s]
[Train] Step: 30/32768 | Cycle step: 30/32768 | Train loss: 15.495238:   0%|          | 30/32768 [00:06<1:06:16,  8.23it/s]
[Train] Step: 31/32768 | Cycle step: 31/32768 | Train loss: 15.036164:   0%|          | 30/32768 [00:06<1:06:16,  8.23it/s]
[Train] Step: 31/32768 | Cycle step: 31/32768 | Train loss: 15.036164:   0%|          | 31/32768 [00:06<1:05:45,  8.30it/s]
[Train] Step: 32/32768 | Cycle step: 32/32768 | Train loss: 15.632244:   0%|          | 31/32768 [00:06<1:05:45,  8.30it/s]
[Train] Step: 32/32768 | Cycle step: 32/32768 | Train loss: 15.632244:   0%|          | 32/32768 [00:06<1:05:58,  8.27it/s]
[Train] Step: 33/32768 | Cycle step: 33/32768 | Train loss: 15.247369:   0%|          | 32/32768 [00:06<1:05:58,  8.27it/s]
[Train] Step: 33/32768 | Cycle step: 33/32768 | Train loss: 15.247369:   0%|          | 33/32768 [00:06<1:05:42,  8.30it/s]
[Train] Step: 34/32768 | Cycle step: 34/32768 | Train loss: 15.144548:   0%|          | 33/32768 [00:06<1:05:42,  8.30it/s]
[Train] Step: 34/32768 | Cycle step: 34/32768 | Train loss: 15.144548:   0%|          | 34/32768 [00:06<1:05:22,  8.34it/s]
[Train] Step: 35/32768 | Cycle step: 35/32768 | Train loss: 14.747838:   0%|          | 34/32768 [00:06<1:05:22,  8.34it/s]
[Train] Step: 35/32768 | Cycle step: 35/32768 | Train loss: 14.747838:   0%|          | 35/32768 [00:06<1:05:25,  8.34it/s]
[Train] Step: 36/32768 | Cycle step: 36/32768 | Train loss: 14.534919:   0%|          | 35/32768 [00:06<1:05:25,  8.34it/s]
[Train] Step: 36/32768 | Cycle step: 36/32768 | Train loss: 14.534919:   0%|          | 36/32768 [00:06<1:05:53,  8.28it/s]
[Train] Step: 37/32768 | Cycle step: 37/32768 | Train loss: 14.320186:   0%|          | 36/32768 [00:07<1:05:53,  8.28it/s]
[Train] Step: 37/32768 | Cycle step: 37/32768 | Train loss: 14.320186:   0%|          | 37/32768 [00:07<1:05:49,  8.29it/s]
[Train] Step: 38/32768 | Cycle step: 38/32768 | Train loss: 14.150077:   0%|          | 37/32768 [00:07<1:05:49,  8.29it/s]
[Train] Step: 38/32768 | Cycle step: 38/32768 | Train loss: 14.150077:   0%|          | 38/32768 [00:07<1:05:36,  8.31it/s]
[Train] Step: 39/32768 | Cycle step: 39/32768 | Train loss: 15.443253:   0%|          | 38/32768 [00:07<1:05:36,  8.31it/s]
[Train] Step: 39/32768 | Cycle step: 39/32768 | Train loss: 15.443253:   0%|          | 39/32768 [00:07<1:05:54,  8.28it/s]
[Train] Step: 40/32768 | Cycle step: 40/32768 | Train loss: 15.103697:   0%|          | 39/32768 [00:07<1:05:54,  8.28it/s]
[Train] Step: 40/32768 | Cycle step: 40/32768 | Train loss: 15.103697:   0%|          | 40/32768 [00:07<1:05:34,  8.32it/s]
[Train] Step: 41/32768 | Cycle step: 41/32768 | Train loss: 14.816365:   0%|          | 40/32768 [00:07<1:05:34,  8.32it/s]
[Train] Step: 41/32768 | Cycle step: 41/32768 | Train loss: 14.816365:   0%|          | 41/32768 [00:07<1:06:02,  8.26it/s]
[Train] Step: 42/32768 | Cycle step: 42/32768 | Train loss: 14.487783:   0%|          | 41/32768 [00:07<1:06:02,  8.26it/s]
[Train] Step: 42/32768 | Cycle step: 42/32768 | Train loss: 14.487783:   0%|          | 42/32768 [00:07<1:05:55,  8.27it/s]
[Train] Step: 43/32768 | Cycle step: 43/32768 | Train loss: 15.437075:   0%|          | 42/32768 [00:07<1:05:55,  8.27it/s]
[Train] Step: 43/32768 | Cycle step: 43/32768 | Train loss: 15.437075:   0%|          | 43/32768 [00:07<1:06:16,  8.23it/s]
[Train] Step: 44/32768 | Cycle step: 44/32768 | Train loss: 15.195220:   0%|          | 43/32768 [00:07<1:06:16,  8.23it/s]
[Train] Step: 44/32768 | Cycle step: 44/32768 | Train loss: 15.195220:   0%|          | 44/32768 [00:07<1:06:56,  8.15it/s]
[Train] Step: 45/32768 | Cycle step: 45/32768 | Train loss: 14.886031:   0%|          | 44/32768 [00:08<1:06:56,  8.15it/s]
[Train] Step: 45/32768 | Cycle step: 45/32768 | Train loss: 14.886031:   0%|          | 45/32768 [00:08<1:06:59,  8.14it/s]
[Train] Step: 46/32768 | Cycle step: 46/32768 | Train loss: 15.120712:   0%|          | 45/32768 [00:08<1:06:59,  8.14it/s]
[Train] Step: 46/32768 | Cycle step: 46/32768 | Train loss: 15.120712:   0%|          | 46/32768 [00:08<1:06:42,  8.18it/s]
[Train] Step: 47/32768 | Cycle step: 47/32768 | Train loss: 14.866971:   0%|          | 46/32768 [00:08<1:06:42,  8.18it/s]
[Train] Step: 47/32768 | Cycle step: 47/32768 | Train loss: 14.866971:   0%|          | 47/32768 [00:08<1:06:37,  8.19it/s]
[Train] Step: 48/32768 | Cycle step: 48/32768 | Train loss: 15.737769:   0%|          | 47/32768 [00:08<1:06:37,  8.19it/s]
[Train] Step: 48/32768 | Cycle step: 48/32768 | Train loss: 15.737769:   0%|          | 48/32768 [00:08<1:06:42,  8.18it/s]
[Train] Step: 49/32768 | Cycle step: 49/32768 | Train loss: 15.734362:   0%|          | 48/32768 [00:08<1:06:42,  8.18it/s]
[Train] Step: 49/32768 | Cycle step: 49/32768 | Train loss: 15.734362:   0%|          | 49/32768 [00:08<1:06:50,  8.16it/s]
[Train] Step: 50/32768 | Cycle step: 50/32768 | Train loss: 15.875130:   0%|          | 49/32768 [00:08<1:06:50,  8.16it/s]
[Train] Step: 50/32768 | Cycle step: 50/32768 | Train loss: 15.875130:   0%|          | 50/32768 [00:08<1:06:30,  8.20it/s]
[Train] Step: 51/32768 | Cycle step: 51/32768 | Train loss: 15.997373:   0%|          | 50/32768 [00:08<1:06:30,  8.20it/s]
[Train] Step: 51/32768 | Cycle step: 51/32768 | Train loss: 15.997373:   0%|          | 51/32768 [00:08<1:06:14,  8.23it/s]
[Train] Step: 52/32768 | Cycle step: 52/32768 | Train loss: 15.777416:   0%|          | 51/32768 [00:08<1:06:14,  8.23it/s]
[Train] Step: 52/32768 | Cycle step: 52/32768 | Train loss: 15.777416:   0%|          | 52/32768 [00:08<1:05:55,  8.27it/s]
[Train] Step: 53/32768 | Cycle step: 53/32768 | Train loss: 15.487119:   0%|          | 52/32768 [00:09<1:05:55,  8.27it/s]
[Train] Step: 53/32768 | Cycle step: 53/32768 | Train loss: 15.487119:   0%|          | 53/32768 [00:09<1:05:17,  8.35it/s]
[Train] Step: 54/32768 | Cycle step: 54/32768 | Train loss: 15.371242:   0%|          | 53/32768 [00:09<1:05:17,  8.35it/s]
[Train] Step: 54/32768 | Cycle step: 54/32768 | Train loss: 15.371242:   0%|          | 54/32768 [00:09<1:05:39,  8.30it/s]
[Train] Step: 55/32768 | Cycle step: 55/32768 | Train loss: 15.647294:   0%|          | 54/32768 [00:09<1:05:39,  8.30it/s]
[Train] Step: 55/32768 | Cycle step: 55/32768 | Train loss: 15.647294:   0%|          | 55/32768 [00:09<1:05:40,  8.30it/s]
[Train] Step: 56/32768 | Cycle step: 56/32768 | Train loss: 15.675575:   0%|          | 55/32768 [00:09<1:05:40,  8.30it/s]
[Train] Step: 56/32768 | Cycle step: 56/32768 | Train loss: 15.675575:   0%|          | 56/32768 [00:09<1:05:44,  8.29it/s]
[Train] Step: 57/32768 | Cycle step: 57/32768 | Train loss: 15.855069:   0%|          | 56/32768 [00:09<1:05:44,  8.29it/s]
[Train] Step: 57/32768 | Cycle step: 57/32768 | Train loss: 15.855069:   0%|          | 57/32768 [00:09<1:05:47,  8.29it/s]
[Train] Step: 58/32768 | Cycle step: 58/32768 | Train loss: 15.675770:   0%|          | 57/32768 [00:09<1:05:47,  8.29it/s]
[Train] Step: 58/32768 | Cycle step: 58/32768 | Train loss: 15.675770:   0%|          | 58/32768 [00:09<1:06:20,  8.22it/s]
[Train] Step: 59/32768 | Cycle step: 59/32768 | Train loss: 15.716963:   0%|          | 58/32768 [00:09<1:06:20,  8.22it/s]
[Train] Step: 59/32768 | Cycle step: 59/32768 | Train loss: 15.716963:   0%|          | 59/32768 [00:09<1:06:42,  8.17it/s]
[Train] Step: 60/32768 | Cycle step: 60/32768 | Train loss: 15.505930:   0%|          | 59/32768 [00:09<1:06:42,  8.17it/s]
[Train] Step: 60/32768 | Cycle step: 60/32768 | Train loss: 15.505930:   0%|          | 60/32768 [00:09<1:05:54,  8.27it/s]
[Train] Step: 61/32768 | Cycle step: 61/32768 | Train loss: 15.603402:   0%|          | 60/32768 [00:09<1:05:54,  8.27it/s]
[Train] Step: 61/32768 | Cycle step: 61/32768 | Train loss: 15.603402:   0%|          | 61/32768 [00:09<1:05:58,  8.26it/s]
[Train] Step: 62/32768 | Cycle step: 62/32768 | Train loss: 15.583931:   0%|          | 61/32768 [00:10<1:05:58,  8.26it/s]
[Train] Step: 62/32768 | Cycle step: 62/32768 | Train loss: 15.583931:   0%|          | 62/32768 [00:10<1:06:23,  8.21it/s]
[Train] Step: 63/32768 | Cycle step: 63/32768 | Train loss: 15.656470:   0%|          | 62/32768 [00:10<1:06:23,  8.21it/s]
[Train] Step: 63/32768 | Cycle step: 63/32768 | Train loss: 15.656470:   0%|          | 63/32768 [00:10<1:06:32,  8.19it/s]
[Train] Step: 64/32768 | Cycle step: 64/32768 | Train loss: 15.581598:   0%|          | 63/32768 [00:10<1:06:32,  8.19it/s]
[Train] Step: 64/32768 | Cycle step: 64/32768 | Train loss: 15.581598:   0%|          | 64/32768 [00:10<1:07:09,  8.12it/s]
[Train] Step: 65/32768 | Cycle step: 65/32768 | Train loss: 15.482156:   0%|          | 64/32768 [00:10<1:07:09,  8.12it/s]
[Train] Step: 65/32768 | Cycle step: 65/32768 | Train loss: 15.482156:   0%|          | 65/32768 [00:10<1:06:48,  8.16it/s]
[Train] Step: 66/32768 | Cycle step: 66/32768 | Train loss: 15.351431:   0%|          | 65/32768 [00:10<1:06:48,  8.16it/s]
[Train] Step: 66/32768 | Cycle step: 66/32768 | Train loss: 15.351431:   0%|          | 66/32768 [00:10<1:08:00,  8.01it/s]
[Train] Step: 67/32768 | Cycle step: 67/32768 | Train loss: 15.195893:   0%|          | 66/32768 [00:10<1:08:00,  8.01it/s]
[Train] Step: 67/32768 | Cycle step: 67/32768 | Train loss: 15.195893:   0%|          | 67/32768 [00:10<1:07:17,  8.10it/s]
